,contribution_receipt_amount,contributor_zip,party
14388,200.0,61068,REP
14389,25.0,63069,REP
14390,100.0,85375,REP
14391,75.0,93940,REP
14392,25.0,22079,REP
14393,30.0,22203,REP
14394,100.0,22663,REP
14395,50.0,98177,REP
14396,200.0,22039,REP
14397,35.0,55066,REP
14398,25.0,32750,REP
14399,20.0,22824,REP
14400,50.0,93105,REP
14401,25.0,60631,REP
14402,25.0,97333,REP
14403,20.0,98005,REP
14404,50.0,44608,REP
14405,2300.0,99801,REP
14406,50.0,24153,REP
14407,300.0,22601,REP
14408,199.0,78502,REP
14409,10.0,48185,REP
14410,10.0,48185,REP
14411,120.0,83706,REP
14412,20.0,97850,REP
14413,35.0,98953,REP
14414,10.0,21401,REP
14415,200.0,36564,REP
14416,21.0,10458,REP
14417,200.0,53217,REP
14418,50.0,22079,REP
14419,50.0,22079,REP
14420,100.0,59107,REP
14421,25.0,28722,REP
14422,20.0,30701,REP
14423,100.0,98058,REP
14424,40.0,73023,REP
14425,35.0,62221,REP
14426,35.0,62221,REP
14427,25.0,37419,REP
14428,25.0,37419,REP
14429,15.0,80014,REP
14430,25.0,33186,REP
14431,50.0,75092,REP
14432,50.0,96094,REP
14433,100.0,93550,REP
14434,55.0,90606,REP
14435,51.0,23060,REP
14436,50.0,11510,REP
14437,10.0,53211,REP
14438,50.0,87104,REP
14439,100.0,90405,REP
14440,25.0,23663,REP
14441,25.0,32504,REP
14442,100.0,11202,REP
14443,2300.0,60175,REP
14444,100.0,80120,REP
14445,20.0,85351,REP
14446,100.0,83607,REP
14447,50.0,30339,REP
14448,250.0,54952,REP
14449,250.0,54952,REP
14450,50.0,35462,REP
14451,50.0,35462,REP
14452,100.0,44511,REP
14453,50.0,53901,REP
14454,50.0,97850,REP
14455,200.0,76020,REP
14456,50.0,97504,REP
14457,25.0,85018,REP
14458,500.0,95120,REP
14459,75.5,37352,REP
14460,21.0,7834,REP
14461,100.0,23188,REP
14462,50.0,98282,REP
14463,25.0,66049,REP
14464,25.0,30041,REP
14465,19.64,98052,REP
14466,60.0,98052,REP
14467,100.0,32073,REP
14468,50.0,19355,REP
14469,50.0,33062,REP
14470,100.0,98166,REP
14471,200.0,90605,REP
14472,500.0,95959,REP
14473,250.0,78501,REP
14474,50.0,27608,REP
14475,200.0,95436,REP
14476,50.0,63110,IND
14477,50.0,4011,IND
14478,75.0,77706,IND
14479,75.0,64114,IND
14480,25.0,7822,IND
14481,75.0,94110,IND
14482,100.0,30317,IND
14483,50.0,60076,IND
14484,50.0,90022,IND
14485,50.0,20181,IND
14486,100.0,41076,IND
14487,50.0,3906,IND
14488,25.0,84014,IND
14489,25.0,80202,IND
14490,100.0,10023,IND
14491,50.0,93901,IND
14492,200.0,94510,IND
14493,50.0,53703,IND
14494,200.0,94116,IND
14495,25.0,22102,IND
14496,25.0,10033,IND
14497,25.0,11103,IND
14498,125.0,11568,IND
14499,25.0,49424,IND
14500,125.0,94709,IND
14501,50.0,94115,IND
14502,150.0,92589,IND
14503,50.0,79928,IND
14504,75.0,10003,IND
14505,25.0,97405,IND
14506,25.0,78748,IND
14507,25.0,80121,IND
14508,25.0,94703,IND
14509,50.0,48021,IND
14510,175.0,76109,IND
14511,100.0,94110,IND
14512,25.0,11776,IND
14513,100.0,48103,IND
14514,50.0,98115,IND
14515,175.0,11205,IND
14516,50.0,94538,IND
14517,25.0,92336,IND
14518,50.0,92692,IND
14519,25.0,37013,IND
14520,50.0,10014,IND
14521,50.0,95423,IND
14522,25.0,94110,IND
14523,125.0,92024,IND
14524,25.0,11788,IND
14525,50.0,53716,IND
14526,25.0,55423,IND
14527,50.0,94703,IND
14528,200.0,93612,IND
14529,50.0,55413,IND
14530,50.0,7047,IND
14531,100.0,48120,IND
14532,50.0,2123,IND
14533,50.0,28443,IND
14534,50.0,94568,IND
14535,200.0,8080,IND
14536,50.0,2472,IND
14537,25.0,13210,IND
14538,50.0,53716,IND
14539,100.0,55104,IND
14540,50.0,54629,IND
14541,50.0,8619,IND
14542,75.0,2139,IND
14543,25.0,96789,IND
14544,100.0,20882,IND
14545,125.0,98106,IND
14546,50.0,19130,IND
14547,100.0,78233,IND
14548,50.0,12465,IND
14549,50.0,15206,IND
14550,50.0,10965,IND
14551,50.0,92024,IND
14552,75.0,97365,IND
14553,50.0,60647,IND
14554,50.0,75287,IND
14555,50.0,94526,IND
14556,50.0,97478,IND
14557,50.0,56087,IND
14558,15.0,94602,IND
14559,25.0,83706,IND
14560,25.0,98056,IND
14561,25.0,12043,IND
14562,50.0,92620,IND
14563,325.0,98116,IND
14564,25.0,33196,IND
14565,50.0,94188,IND
14566,50.0,4757,IND
14567,150.0,2631,IND
14568,50.0,43076,IND
14569,150.0,53142,IND
14570,50.0,12550,IND
14571,50.0,72701,IND
14572,25.0,1606,IND
14573,50.0,60068,IND
14574,50.0,90272,IND
14575,100.0,32608,IND
14576,50.0,97206,IND
14577,500.0,77627,REP
14578,500.0,77627,REP
14579,500.0,77627,REP
14580,-225.0,72106,REP
14581,50.0,61704,REP
14582,-2000.0,37876,REP
14583,-40.0,72028,REP
14584,-50.0,78832,REP
14585,-220.0,72205,REP
14586,25.0,44233,REP
14587,200.0,86303,REP
14588,100.0,90247,REP
14589,250.0,56258,REP
14590,500.0,29483,REP
14591,500.0,15236,REP
14592,-25.0,7840,REP
14593,-300.0,33647,REP
14594,200.0,15143,REP
14595,100.0,86301,REP
14596,-300.0,78258,REP
14597,100.0,63112,REP
14598,-400.0,44145,REP
14599,25.0,11520,REP
14600,-200.0,10021,REP
14601,200.0,93021,REP
14602,-500.0,91302,REP
14603,-500.0,76164,REP
14604,-200.0,14612,REP
14605,-100.0,7076,REP
14606,-200.0,7076,REP
14607,-500.0,24015,REP
14608,-300.0,92861,REP
14609,-225.0,33308,REP
14610,-101.0,19380,REP
14611,-500.0,53072,REP
14612,25.0,57620,REP
14613,-200.0,53590,REP
14614,-500.0,77418,REP
14615,1.0,10028,REP
14616,-25.0,63069,REP
14617,-2300.0,99801,REP
14618,-50.0,24153,REP
14619,-300.0,22601,REP
14620,-10.0,48185,REP
14621,-10.0,48185,REP
14622,-200.0,36564,REP
14623,50.0,98557,REP
14624,100.0,85015,REP
14625,200.0,20189,REP
14626,-2300.0,60175,REP
14627,500.0,33952,REP
14628,400.0,33952,REP
14629,1000.0,32205,REP
14630,-20.0,85351,REP
14631,-100.0,83607,REP
14632,-250.0,54952,REP
14633,-250.0,54952,REP
14634,-500.0,95120,REP
14635,-50.0,98282,REP
14636,-19.0,98052,REP
14637,-60.0,98052,REP
14638,300.0,16323,REP
14639,-100.0,98166,REP
14640,12.0,28031,REP
14641,12.0,28031,REP
14642,100.0,85715,REP
14643,12.0,28078,REP
14644,100.0,53092,REP
14645,200.0,28078,REP
14646,6.0,28036,REP
14647,37.0,28031,REP
14648,200.0,33141,REP
14649,1000.0,99999,REP
14650,2300.0,11231,REP
14651,25.0,92646,REP
14652,12.0,28031,REP
14653,12.0,28036,REP
14654,20.0,28031,REP
14655,2.0,22554,LIB
14656,50.0,94086,DEM
14657,25.0,60521,DEM
14658,100.0,92563,DEM
14659,50.0,97303,DEM
14660,200.0,98104,DEM
14661,30.0,97215,DEM
14662,50.0,98204,DEM
14663,20.0,75149,DEM
14664,50.0,67301,DEM
14665,50.0,11212,DEM
14666,50.0,37146,DEM
14667,100.0,92028,DEM
14668,150.0,13820,DEM
14669,100.0,72120,DEM
14670,100.0,11236,DEM
14671,25.0,99901,DEM
14672,25.0,30044,DEM
14673,50.0,10463,DEM
14674,50.0,11518,DEM
14675,50.0,43214,DEM
14676,25.0,43214,DEM
14677,50.0,92081,DEM
14678,100.0,93405,DEM
14679,100.0,85324,DEM
14680,50.0,78210,DEM
14681,300.0,37415,DEM
14682,50.0,94930,DEM
14683,150.0,44484,DEM
14684,50.0,98105,DEM
14685,25.0,34287,DEM
14686,25.0,34287,DEM
14687,25.0,95667,DEM
14688,55.0,20910,DEM
14689,100.0,35806,DEM
14690,50.0,78621,DEM
14691,50.0,92706,DEM
14692,50.0,90065,DEM
14693,25.0,30143,DEM
14694,100.0,85207,DEM
14695,50.0,11236,DEM
14696,30.0,48198,DEM
14697,25.0,23226,DEM
14698,50.0,81201,DEM
14699,50.0,29902,DEM
14700,100.0,94610,DEM
14701,25.0,98569,DEM
14702,100.0,34491,DEM
14703,200.0,1605,DEM
14704,100.0,74403,DEM
14705,50.0,95014,DEM
14706,50.0,21209,DEM
14707,25.0,92649,DEM
14708,50.0,94122,DEM
14709,50.0,21117,DEM
14710,250.0,55113,DEM
14711,20.0,80209,DEM
14712,25.0,34205,DEM
14713,40.0,12184,DEM
14714,55.0,94044,DEM
14715,60.0,93640,DEM
14716,25.0,76016,DEM
14717,100.0,98103,DEM
14718,100.0,94002,DEM
14719,100.0,93612,DEM
14720,35.0,30907,DEM
14721,50.0,55416,DEM
14722,50.0,97086,DEM
14723,75.0,78621,DEM
14724,35.0,80022,DEM
14725,100.0,2149,DEM
14726,25.0,35046,DEM
14727,250.0,98039,DEM
14728,50.0,55033,DEM
14729,50.0,33487,DEM
14730,50.0,94087,DEM
14731,50.0,90732,DEM
14732,120.0,27513,DEM
14733,100.0,96701,DEM
14734,30.0,1255,DEM
14735,20.0,33484,DEM
14736,100.0,2196,DEM
14737,20.0,64133,DEM
14738,25.0,28601,DEM
14739,50.0,33618,DEM
14740,10.0,60201,DEM
14741,45.0,95470,DEM
14742,100.0,98240,DEM
14743,200.0,91326,DEM
14744,50.0,1108,DEM
14745,50.0,43015,DEM
14746,100.0,98118,DEM
14747,100.0,90049,DEM
14748,25.0,34997,DEM
14749,100.0,96817,DEM
14750,25.0,21044,DEM
14751,25.0,48070,DEM
14752,20.0,16146,DEM
14753,50.0,90242,DEM
14754,75.0,79924,DEM
14755,100.0,96786,DEM
14756,30.0,94109,DEM
14757,50.0,76112,DEM
14758,25.0,38382,DEM
14759,100.0,86312,DEM
14760,25.0,90703,DEM
14761,100.0,78650,DEM
14762,40.0,72534,DEM
14763,60.0,13501,DEM
14764,50.0,94131,DEM
14765,100.0,53190,DEM
14766,20.0,91390,DEM
14767,50.0,88011,DEM
14768,50.0,92078,DEM
14769,50.0,76308,DEM
14770,250.0,94534,DEM
14771,100.0,11782,DEM
14772,50.0,32435,DEM
14773,100.0,34275,DEM
14774,250.0,8540,DEM
14775,55.0,91104,DEM
14776,50.0,92817,DEM
14777,50.0,94707,DEM
14778,50.0,93940,DEM
14779,25.0,11510,DEM
14780,20.0,39705,DEM
14781,50.0,80920,DEM
14782,50.0,80920,DEM
14783,50.0,94086,DEM
14784,50.0,85202,DEM
14785,50.0,16506,DEM
14786,150.0,94037,DEM
14787,40.0,92111,DEM
14788,100.0,34292,DEM
14789,100.0,29416,DEM
14790,60.0,97124,DEM
14791,50.0,90245,DEM
14792,50.0,85219,DEM
14793,50.0,97701,DEM
14794,15.0,14701,DEM
14795,170.0,33311,DEM
14796,75.0,98444,DEM
14797,10.0,66207,DEM
14798,150.0,37027,DEM
14799,50.0,55406,DEM
14800,50.0,7002,DEM
14801,50.0,11211,DEM
14802,25.0,91765,DEM
14803,100.0,32446,DEM
14804,100.0,37205,DEM
14805,20.0,91780,DEM
14806,50.0,88005,DEM
14807,50.0,80907,DEM
14808,10.0,78730,DEM
14809,75.0,25427,DEM
14810,5.0,78416,DEM
14811,25.0,60026,DEM
14812,200.0,10453,DEM
14813,50.0,64030,DEM
14814,50.0,93711,DEM
14815,35.0,94533,DEM
14816,100.0,38462,DEM
14817,25.0,92627,DEM
14818,100.0,54501,DEM
14819,100.0,80524,DEM
14820,100.0,24201,DEM
14821,250.0,32837,DEM
14822,150.0,10463,DEM
14823,100.0,14845,DEM
14824,100.0,31501,DEM
14825,100.0,11202,DEM
14826,50.0,93611,DEM
14827,50.0,97394,DEM
14828,50.0,93908,DEM
14829,50.0,92085,DEM
14830,100.0,88210,DEM
14831,100.0,96822,DEM
14832,150.0,2476,DEM
14833,50.0,6118,DEM
14834,50.0,56473,DEM
14835,25.0,98115,DEM
14836,150.0,92646,DEM
14837,100.0,28128,DEM
14838,50.0,55407,DEM
14839,100.0,92630,DEM
14840,75.0,73801,DEM
14841,100.0,60601,DEM
14842,35.0,8205,DEM
14843,50.0,73663,DEM
14844,50.0,92506,DEM
14845,25.0,40216,DEM
14846,50.0,32951,DEM
14847,50.0,94040,DEM
14848,30.0,77701,DEM
14849,50.0,73179,DEM
14850,50.0,92081,DEM
14851,50.0,92081,DEM
14852,40.0,94949,DEM
14853,25.0,65804,DEM
14854,25.0,7756,DEM
14855,50.0,6095,DEM
14856,50.0,85629,DEM
14857,50.0,90266,DEM
14858,50.0,91770,DEM
14859,100.0,78738,DEM
14860,100.0,60540,DEM
14861,150.0,20011,DEM
14862,25.0,55116,DEM
14863,300.0,97302,DEM
14864,100.0,61277,DEM
14865,25.0,94115,DEM
14866,100.0,80015,DEM
14867,200.0,30909,DEM
14868,50.0,85710,DEM
14869,50.0,92612,DEM
14870,200.0,95051,DEM
14871,150.0,93535,DEM
14872,50.0,55417,DEM
14873,25.0,95608,DEM
14874,50.0,94925,DEM
14875,20.0,90803,DEM
14876,30.0,94015,DEM
14877,25.0,92688,DEM
14878,100.0,15136,DEM
14879,25.0,91505,DEM
14880,-16.0,94061,DEM
14881,-76.08,22304,DEM
14882,-45.5,10538,DEM
14883,-10.0,87191,DEM
14884,-20.08,24501,DEM
14885,-15.0,80206,DEM
14886,-16.0,92117,DEM
14887,-20.08,90019,DEM
14888,-2.5,19805,DEM
14889,-70.0,55419,DEM
14890,-20.08,90018,DEM
14891,-100.8,91606,DEM
14892,-20.08,19138,DEM
14893,-20.08,28166,DEM
14894,-15.0,70130,DEM
14895,-40.16,20833,DEM
14896,-5.0,10128,DEM
14897,-35.08,10467,DEM
14898,-144.5,11374,DEM
14899,-50.0,17603,DEM
14900,-100.0,77002,DEM
14901,-300.0,28590,DEM
14902,-100.0,10506,DEM
14903,-975.0,80503,DEM
14904,-25.0,11238,DEM
14905,-500.0,70056,DEM
14906,-100.0,10506,DEM
14907,-71.08,28409,DEM
14908,-1800.0,46403,DEM
14909,-600.0,62565,DEM
14910,-2008.0,66202,DEM
14911,-2300.0,2468,DEM
14912,-46.68,18960,DEM
14913,-100.0,37212,DEM
14914,-200.0,94541,DEM
14915,-66.0,14618,DEM
14916,150.0,77006,GRE
14917,15.0,94606,GRE
14918,100.0,60203,GRE
14919,250.0,98101,GRE
14920,10.0,30308,GRE
14921,100.0,98117,GRE
14922,10.0,98144,GRE
14923,100.0,60626,GRE
14924,100.0,60290,GRE
14925,100.0,60631,REP
14926,10.0,33183,REP
14927,1.0,1253,REP
14928,20.0,30824,REP
14929,25.0,2647,REP
14930,100.0,23113,REP
14931,500.0,63131,REP
14932,30.0,77469,REP
14933,100.0,83858,REP
14934,10.0,92065,REP
14935,25.0,78738,REP
14936,10.0,1151,REP
14937,25.0,85255,REP
14938,50.0,20855,REP
14939,50.0,12302,REP
14940,50.0,58831,REP
14941,100.0,49002,REP
14942,25.0,92625,REP
14943,100.0,96027,REP
14944,100.0,55337,REP
14945,25.0,50266,REP
14946,25.0,92270,REP
14947,50.0,95648,REP
14948,50.0,93423,REP
14949,50.0,32128,REP
14950,200.0,7871,REP
14951,25.0,43220,REP
14952,1.0,85749,REP
14953,25.0,12309,REP
14954,25.0,92808,REP
14955,25.0,84062,REP
14956,100.0,48386,REP
14957,50.0,43017,REP
14958,50.0,2914,REP
14959,150.0,33102,REP
14960,150.0,33102,REP
14961,100.0,19382,REP
14962,25.0,77905,REP
14963,26.0,45030,REP
14964,50.0,92025,REP
14965,51.0,19730,REP
14966,35.0,30087,REP
14967,11.0,10989,REP
14968,5.0,37042,REP
14969,10.0,22152,REP
14970,100.0,10075,REP
14971,25.0,77068,REP
14972,25.0,19301,REP
14973,15.0,12845,REP
14974,100.0,87123,REP
14975,10.0,6517,REP
14976,10.0,17602,REP
14977,25.0,30188,REP
14978,50.0,63304,REP
14979,10.0,19473,REP
14980,25.0,27107,REP
14981,200.0,2130,REP
14982,25.0,92672,REP
14983,40.0,87701,REP
14984,300.0,33405,REP
14985,50.0,85255,REP
14986,2300.0,75209,REP
14987,100.0,10023,REP
14988,50.0,40019,REP
14989,150.0,7675,REP
14990,500.0,70605,REP
14991,50.0,92011,REP
14992,75.0,95136,REP
14993,25.0,6073,REP
14994,100.0,60422,REP
14995,40.0,33129,REP
14996,25.0,23947,REP
14997,55.0,95035,REP
14998,25.0,22980,REP
14999,20.0,18631,REP
15000,50.0,28480,REP
15001,50.0,10009,REP
15002,25.0,7701,REP
15003,300.0,60062,REP
15004,25.0,32148,REP
15005,25.0,33767,REP
15006,35.0,12306,REP
15007,20.0,12084,REP
15008,50.0,2828,REP
15009,15.0,11961,REP
15010,100.0,48088,REP
15011,20.0,48312,REP
15012,250.0,79912,REP
15013,100.0,79416,REP
15014,50.0,28210,REP
15015,200.0,60035,REP
15016,35.0,94024,REP
15017,30.0,92660,REP
15018,100.0,75229,REP
15019,36.0,99352,REP
15020,25.0,11788,REP
15021,200.0,10306,REP
15022,25.0,21122,REP
15023,102.0,49315,REP
15024,50.0,80127,REP
15025,200.0,80127,REP
15026,35.0,86413,REP
15027,50.0,18837,REP
15028,25.0,8816,REP
15029,400.0,30087,REP
15030,500.0,30319,REP
15031,100.0,31098,REP
15032,25.0,98115,REP
15033,250.0,20817,REP
15034,150.0,59601,REP
15035,25.0,37663,REP
15036,25.0,63118,REP
15037,50.0,22207,REP
15038,100.0,98382,REP
15039,100.0,98382,REP
15040,2300.0,90024,REP
15041,200.0,6357,REP
15042,100.0,35223,REP
15043,50.0,80503,REP
15044,100.0,10533,REP
15045,25.0,19803,REP
15046,51.0,82414,REP
15047,25.0,3842,REP
15048,15.0,28303,REP
15049,100.0,83301,REP
15050,10.0,29532,REP
15051,500.0,43016,REP
15052,200.0,43016,REP
15053,200.0,30305,REP
15054,50.0,80517,REP
15055,100.0,19382,REP
15056,20.0,93428,REP
15057,20.0,7834,REP
15058,20.0,7834,REP
15059,20.0,7834,REP
15060,50.0,49615,REP
15061,250.0,77251,REP
15062,46.0,85365,REP
15063,750.0,28804,REP
15064,750.0,28804,REP
15065,25.0,27614,REP
15066,100.0,6514,REP
15067,100.0,29642,REP
15068,35.0,63344,REP
15069,25.0,42104,REP
15070,51.0,22942,REP
15071,100.0,75701,REP
15072,150.0,6268,REP
15073,100.0,55345,REP
15074,25.0,20637,REP
15075,50.0,80921,REP
15076,100.0,66209,REP
15077,1000.0,10708,REP
15078,10.0,97338,REP
15079,500.0,98632,REP
15080,51.0,87123,REP
15081,100.0,31411,REP
15082,100.0,85747,REP
15083,25.0,77041,REP
15084,50.0,63090,REP
15085,70.0,92504,REP
15086,25.0,92708,REP
15087,20.0,92708,REP
15088,200.0,25530,REP
15089,200.0,76049,REP
15090,25.0,37167,REP
15091,250.0,60181,REP
15092,2300.0,77098,REP
15093,100.0,22181,REP
15094,50.0,95641,REP
15095,100.0,95641,REP
15096,50.0,92103,REP
15097,50.0,3561,REP
15098,100.0,93013,REP
15099,500.0,93610,REP
15100,100.0,85203,REP
15101,25.0,19038,REP
15102,500.0,98858,REP
15103,25.0,19001,REP
15104,10.0,8050,REP
15105,1000.0,90248,REP
15106,25.0,12066,REP
15107,25.0,7644,REP
15108,25.0,7644,REP
15109,200.0,94904,REP
15110,375.0,92624,REP
15111,100.0,91302,REP
15112,20.0,19805,REP
15113,10.0,23452,REP
15114,10.0,21710,REP
15115,100.0,2852,REP
15116,101.0,19810,REP
15117,500.0,80002,REP
15118,15.0,23175,REP
15119,35.0,11237,REP
15120,100.0,65350,REP
15121,50.0,7652,REP
15122,20.0,67042,REP
15123,200.0,94118,REP
15124,200.0,55052,REP
15125,10.0,2813,REP
15126,75.0,49015,REP
15127,100.0,19036,REP
15128,200.0,78722,REP
15129,250.0,90405,REP
15130,100.0,2176,REP
15131,50.0,92106,REP
15132,10.0,7087,REP
15133,1000.0,13365,REP
15134,21.0,28625,REP
15135,1000.0,2655,REP
15136,30.0,35056,REP
15137,35.0,33884,REP
15138,25.0,14043,REP
15139,25.0,8055,REP
15140,35.0,87112,REP
15141,35.0,44149,REP
15142,100.0,23233,REP
15143,210.0,55920,REP
15144,75.0,24095,REP
15145,10.0,91504,REP
15146,75.0,55345,REP
15147,50.0,82009,REP
15148,50.0,33634,REP
15149,45.0,79015,REP
15150,2300.0,34684,REP
15151,25.0,70130,REP
15152,50.0,98059,REP
15153,200.0,18360,REP
15154,25.0,31411,REP
15155,100.0,19041,REP
15156,100.0,28405,REP
15157,16.0,8088,REP
15158,50.0,77339,REP
15159,25.0,91309,REP
15160,100.0,94142,REP
15161,25.0,98516,REP
15162,21.0,17225,REP
15163,150.0,75751,REP
15164,12.0,90065,REP
15165,50.0,90064,REP
15166,500.0,87544,REP
15167,1000.0,20008,REP
15168,1000.0,7631,REP
15169,12.0,35805,IND
15170,5.0,95825,IND
15171,60.0,93907,IND
15172,50.0,61704,REP
15173,-100.0,23113,REP
15174,-500.0,63131,REP
15175,1000.0,40514,REP
15176,50.0,4330,REP
15177,-150.0,33102,REP
15178,1000.0,58103,REP
15179,30.0,8889,REP
15180,50.0,8889,REP
15181,35.0,8889,REP
15182,100.0,34145,REP
15183,-200.0,2130,REP
15184,100.0,85650,REP
15185,-300.0,33405,REP
15186,25.0,85248,REP
15187,-2300.0,75209,REP
15188,150.0,33477,REP
15189,-150.0,7675,REP
15190,1000.0,60137,REP
15191,-500.0,70605,REP
15192,200.0,5155,REP
15193,200.0,94127,REP
15194,-300.0,60062,REP
15195,50.0,60302,REP
15196,-100.0,48088,REP
15197,-250.0,79912,REP
15198,50.0,4854,REP
15199,-100.0,75229,REP
15200,60.0,15144,REP
15201,-400.0,30087,REP
15202,-500.0,30319,REP
15203,-250.0,20817,REP
15204,100.0,48301,REP
15205,-150.0,59601,REP
15206,-25.0,37663,REP
15207,-50.0,22207,REP
15208,77.0,98031,REP
15209,-2300.0,90024,REP
15210,-200.0,6357,REP
15211,100.0,34711,REP
15212,-500.0,43016,REP
15213,-200.0,43016,REP
15214,-250.0,77251,REP
15215,-750.0,28804,REP
15216,-750.0,28804,REP
15217,-100.0,75701,REP
15218,-150.0,6268,REP
15219,-1000.0,10708,REP
15220,-500.0,98632,REP
15221,500.0,98362,REP
15222,-100.0,85747,REP
15223,-50.0,63090,REP
15224,-250.0,60181,REP
15225,-2300.0,77098,REP
15226,-100.0,93013,REP
15227,1000.0,43326,REP
15228,1000.0,30319,REP
15229,-500.0,93610,REP
15230,-25.0,19038,REP
15231,-500.0,98858,REP
15232,-25.0,19001,REP
15233,-1000.0,90248,REP
15234,-375.0,92624,REP
15235,100.0,92104,REP
15236,-500.0,80002,REP
15237,100.0,75092,REP
15238,1000.0,18045,REP
15239,50.0,33139,REP
15240,100.0,77437,REP
15241,-250.0,90405,REP
15242,100.0,80550,REP
15243,-1000.0,13365,REP
15244,-1000.0,2655,REP
15245,-30.0,35056,REP
15246,-210.0,55920,REP
15247,-75.0,24095,REP
15248,100.0,91307,REP
15249,200.0,79922,REP
15250,1000.0,78701,REP
15251,-2300.0,34684,REP
15252,50.0,7452,REP
15253,-100.0,19041,REP
15254,500.0,37064,REP
15255,100.0,21044,REP
15256,-100.0,94142,REP
15257,-500.0,87544,REP
15258,2300.0,99999,REP
15259,1000.0,20171,REP
15260,1800.0,99999,REP
15261,1000.0,34274,REP
15262,1800.0,99999,REP
15263,1000.0,99999,REP
15264,1000.0,99999,REP
15265,200.0,99999,REP
15266,2300.0,99999,REP
15267,1000.0,99999,REP
15268,2300.0,99999,REP
15269,450.0,11566,REP
15270,1000.0,99999,REP
15271,1000.0,99999,REP
15272,1000.0,99999,REP
15273,1000.0,99999,REP
15274,1000.0,99999,REP
15275,1000.0,99999,REP
15276,2300.0,11024,REP
15277,2300.0,21093,REP
15278,1000.0,99999,REP
15279,1000.0,99999,REP
15280,1000.0,94028,DEM
15281,250.0,14850,DEM
15282,75.0,2132,DEM
15283,500.0,94305,DEM
15284,174.81,6880,DEM
15285,44.75,6880,DEM
15286,44.75,6880,DEM
15287,44.75,6880,DEM
15288,2300.0,91604,DEM
15289,1000.0,33176,DEM
15290,500.0,2467,DEM
15291,500.0,48104,DEM
15292,-25.0,11225,DEM
15293,-20.08,90056,DEM
15294,-5.0,44118,DEM
15295,-58.16,21216,DEM
15296,-15.0,60637,DEM
15297,-159.67,38088,DEM
15298,-213.0,91326,DEM
15299,-17.04,57402,DEM
15300,-35.0,80023,DEM
15301,-431.77,3227,DEM
15302,-90.55,27713,DEM
15303,-400.0,59436,DEM
15304,-5.0,10467,DEM
15305,-250.0,87123,DEM
15306,-20.0,21217,DEM
15307,-294.8,8008,DEM
15308,-250.0,10953,DEM
15309,-50.0,20912,DEM
15310,-8.0,10467,DEM
15311,-20.0,48224,DEM
15312,-20.0,48224,DEM
15313,-90.0,43229,DEM
15314,-40.0,63031,DEM
15315,-35.0,96734,DEM
15316,-398.0,32431,DEM
15317,-2.5,7018,DEM
15318,-25.0,20189,DEM
15319,-2300.0,90064,DEM
15320,-73.0,89511,DEM
15321,-1000.0,77377,DEM
15322,-1000.0,77377,DEM
15323,-50.0,79925,DEM
15324,35.0,81154,REP
15325,30.0,81625,REP
15326,50.0,81625,REP
15327,25.0,81625,REP
15328,25.0,6401,REP
15329,25.0,39180,REP
15330,100.0,54660,REP
15331,50.0,36608,REP
15332,75.0,60521,REP
15333,500.0,32174,REP
15334,100.0,37067,REP
15335,2000.0,7733,REP
15336,15.0,35216,REP
15337,15.0,35216,REP
15338,15.0,35216,REP
15339,25.0,46051,REP
15340,30.0,92116,REP
15341,25.0,88210,REP
15342,50.0,85212,REP
15343,30.0,26150,REP
15344,50.0,98687,REP
15345,20.0,78550,REP
15346,10.0,92843,REP
15347,100.0,48323,REP
15348,100.0,98290,REP
15349,50.0,81505,REP
15350,25.0,48126,REP
15351,25.0,85742,REP
15352,25.0,80112,REP
15353,100.0,97368,REP
15354,200.0,77224,REP
15355,100.0,76531,REP
15356,25.0,95661,REP
15357,400.0,28403,REP
15358,400.0,28403,REP
15359,20.0,64468,REP
15360,50.0,98664,REP
15361,100.0,37205,REP
15362,200.0,33919,REP
15363,15.0,33413,REP
15364,100.0,48837,REP
15365,100.0,48837,REP
15366,20.0,91764,REP
15367,25.0,97035,REP
15368,25.0,49837,REP
15369,100.0,35242,REP
15370,200.0,2184,REP
15371,20.0,35543,REP
15372,15.0,93065,REP
15373,35.0,77039,REP
15374,35.0,95503,REP
15375,100.0,92373,REP
15376,25.0,98026,REP
15377,25.0,60010,REP
15378,25.0,70002,REP
15379,50.0,60540,REP
15380,100.0,71913,REP
15381,20.0,48152,REP
15382,50.0,33418,REP
15383,35.0,85021,REP
15384,500.0,30080,REP
15385,50.0,19023,REP
15386,35.0,60517,REP
15387,25.0,98275,REP
15388,2000.0,98009,REP
15389,500.0,62918,REP
15390,25.0,93010,REP
15391,200.0,35603,REP
15392,25.0,49931,REP
15393,50.0,33772,REP
15394,50.0,94941,REP
15395,200.0,85351,REP
15396,10.0,73106,REP
15397,100.0,92019,REP
15398,30.0,77474,REP
15399,50.0,77036,REP
15400,25.0,81503,REP
15401,16.0,33919,REP
15402,1000.0,32853,REP
15403,50.0,97223,REP
15404,25.0,80525,REP
15405,50.0,46033,REP
15406,100.0,68516,REP
15407,10.0,92648,REP
15408,201.0,85019,REP
15409,50.0,87701,REP
15410,50.0,80808,REP
15411,100.0,49855,REP
15412,25.0,70471,REP
15413,45.0,54821,REP
15414,20.0,36027,REP
15415,100.0,85382,REP
15416,125.0,48092,REP
15417,25.0,98203,REP
15418,20.0,79935,REP
15419,125.0,48092,REP
15420,50.0,80903,REP
15421,25.0,34997,REP
